wr_id,cat,region,base_kw,title,has5,body_len
547,학교폭력,군산,학교폭력출석정지,군산 학교폭력출석정지 | 군산 학교폭력출석정지 처분을 받으면 수업과 시험은 어떻게 처리되나요?,1,2114
546,학교폭력,순천,학폭맞폭,순천 학폭맞폭 | 순천 먼저 폭행을 당한 뒤 대응한 경우에도 맞폭으로 처분될 수 있나요?,1,2013
545,성범죄,춘천,성범죄 압수수색,춘천 성범죄 압수수색 | 춘천 성범죄 사건으로 휴대폰 압수수색을 받으면 어떤 절차를 확인해야 하나요?,1,2183
544,성범죄,진주,미성년자성매매,진주 미성년자성매매 변호사 | 진주 상대방의 나이를 몰랐어도 미성년자성매매로 처벌될 수 있나요?,1,2172
543,성범죄,원주,성적목적공공장소침입,원주 성적목적공공장소침입 변호사 | 원주 화장실에 잘못 들어간 경우에도 성범죄 혐의를 받을 수 있나요?,1,2261
542,성범죄,의정부,불법촬영물소지,의정부 불법촬영물소지 변호사 | 의정부 다른 사람이 보낸 불법촬영물을 저장하면 소지죄가 성립할 수 있나요?,1,2174
541,형사,포항,감금죄,포항 감금죄 변호사 | 포항 상대방의 이동을 잠시 막은 경우에도 감금죄로 처벌될 수 있나요?,1,2182
540,형사,김천구미,사기방조,김천구미 사기방조 변호사 | 김천구미 계좌나 휴대폰을 빌려준 행위만으로 사기방조 혐의를 받을 수 있나요?,1,2266
539,형사,안양,증거인멸죄,안양 증거인멸죄 변호사 | 안양 수사 전에 휴대폰이나 자료를 삭제하면 증거인멸죄가 성립할 수 있나요?,1,2126
538,형사,평택,전기통신금융사기,평택 전기통신금융사기 변호사 | 평택 피해금이 입금된 계좌 명의자도 형사책임을 질 수 있나요?,1,2431
537,학교폭력,,학교폭력출석정지,학교폭력출석정지 | 학교폭력출석정지 처분을 받으면 수업과 시험은 어떻게 처리되나요?,1,2114
536,학교폭력,,학폭맞폭,학폭맞폭 | 먼저 폭행을 당한 뒤 대응한 경우에도 맞폭으로 처분될 수 있나요?,1,2013
535,성범죄,,성범죄 압수수색,성범죄 압수수색 | 성범죄 사건으로 휴대폰 압수수색을 받으면 어떤 절차를 확인해야 하나요?,1,2183
534,성범죄,,미성년자성매매,미성년자성매매 변호사 | 상대방의 나이를 몰랐어도 미성년자성매매로 처벌될 수 있나요?,1,2172
533,성범죄,,성적목적공공장소침입,성적목적공공장소침입 변호사 | 화장실에 잘못 들어간 경우에도 성범죄 혐의를 받을 수 있나요?,1,2261
532,성범죄,,불법촬영물소지,불법촬영물소지 변호사 | 다른 사람이 보낸 불법촬영물을 저장하면 소지죄가 성립할 수 있나요?,1,2174
531,형사,,감금죄,감금죄 변호사 | 상대방의 이동을 잠시 막은 경우에도 감금죄로 처벌될 수 있나요?,1,2182
530,형사,,사기방조,사기방조 변호사 | 계좌나 휴대폰을 빌려준 행위만으로 사기방조 혐의를 받을 수 있나요?,1,2266
529,형사,,증거인멸죄,증거인멸죄 변호사 | 수사 전에 휴대폰이나 자료를 삭제하면 증거인멸죄가 성립할 수 있나요?,1,2126
528,형사,,전기통신금융사기,전기통신금융사기 변호사 | 피해금이 입금된 계좌 명의자도 형사책임을 질 수 있나요?,1,2431
527,학교폭력,안산,학교폭력전학,안산 학교폭력전학 | 안산 학교폭력전학 처분을 받으면 어떤 절차로 다툴 수 있나요?,1,2360
526,학교폭력,전주,학폭위피해자,전주 학폭위피해자 | 전주 학폭위피해자로 출석할 때 피해 사실은 어떻게 정리해야 하나요?,1,2346
525,성범죄,천안,불법촬영 피의자,천안 불법촬영 피의자 | 천안 불법촬영 피의자로 조사받으면 휴대폰 제출 전에 무엇을 확인해야 하나요?,1,2440
524,성범죄,남양주,준강간 증거,남양주 준강간 증거 | 남양주 준강간 혐의에서 당시 대화 내역과 동선은 어떻게 활용되나요?,1,2369
523,성범죄,부천,강제추행 증거,부천 강제추행 증거 | 부천 강제추행 사건에서 CCTV가 없으면 어떤 증거가 중요하게 보이나요?,1,2311
522,성범죄,청주,성범죄 기소,청주 성범죄 기소 | 청주 성범죄 사건에서 기소 여부는 어떤 기준으로 결정되나요?,1,2395
521,형사,성남,사이버모욕죄,성남 사이버모욕죄 | 성남 온라인 댓글로 사이버모욕죄 고소를 당하면 어떻게 대응해야 하나요?,1,2360
520,형사,창원,보이스피싱 방조,창원 보이스피싱 방조 | 창원 보이스피싱 방조 혐의를 받으면 몰랐다는 주장을 어떻게 입증해야 하나요?,1,2467
519,형사,고양,횡령죄 합의,고양 횡령죄 합의 | 고양 횡령죄 사건에서 합의가 이루어지면 처벌 수위가 달라질 수 있나요?,1,2373
518,형사,수원,사기죄 기소유예,수원 사기죄 기소유예 | 수원 사기죄 기소유예를 받으려면 피해 회복이 얼마나 중요한가요?,1,2473
517,학교폭력,,학교폭력전학,학교폭력전학 | 학교폭력전학 처분을 받으면 어떤 절차로 다툴 수 있나요?,1,2360
516,학교폭력,,학폭위피해자,학폭위피해자 | 학폭위피해자로 출석할 때 피해 사실은 어떻게 정리해야 하나요?,1,2346
515,성범죄,,불법촬영 피의자,불법촬영 피의자 | 불법촬영 피의자로 조사받으면 휴대폰 제출 전에 무엇을 확인해야 하나요?,1,2440
514,성범죄,,준강간 증거,준강간 증거 | 준강간 혐의에서 당시 대화 내역과 동선은 어떻게 활용되나요?,1,2369
513,성범죄,,강제추행 증거,강제추행 증거 | 강제추행 사건에서 CCTV가 없으면 어떤 증거가 중요하게 보이나요?,1,2311
512,성범죄,,성범죄 기소,성범죄 기소 | 성범죄 사건에서 기소 여부는 어떤 기준으로 결정되나요?,1,2395
